name,stars,forks,language,created_at,age_days,last_api_update,open_issues,closed_issues,total_issues,issue_resolution_rate,monthly_commits_last30d,total_commits_fetched_period,open_pr,closed_pr,merged_pr,total_pr,avg_merge_time_days
sylvaticus/JuliaMLCourse,2,0,Julia,2021-11-17,1262,2023-04-26 13:10,0,0,0,,0,0,0,0,0,0,
sylvaticus/commonDistributionsInJuliaPythonR,2,2,Python,2021-05-21,1442,2022-08-22 20:20,1,0,1,0.0,0,0,0,0,0,0,
sylvaticus/CSV.jl,1,0,Julia,2018-09-05,2431,2022-02-23 16:34,0,0,0,,0,0,0,0,0,0,
sylvaticus/GameTheoryNotes,1,1,Julia,2023-03-20,774,2023-05-31 00:31,0,0,0,,0,0,0,0,0,0,
sylvaticus/IntroductionToProbability,1,3,TeX,2017-05-26,2898,2022-06-06 12:42,0,0,0,,0,0,0,0,0,0,
sylvaticus/chelsa_cmip6,1,0,Python,2025-03-11,52,2025-04-30 00:43,0,0,0,,0,3,0,0,0,0,
sylvaticus/data-analysis-for-social-scientists-mitx,1,0,,2020-06-03,1794,2023-02-15 02:28,0,0,0,,0,0,0,0,0,0,
sylvaticus/BDisposal.jl,0,1,Julia,2020-10-23,1652,2023-09-26 14:46,0,2,2,1.0,0,0,0,0,1,1,15.49
sylvaticus/BetaMLRequirements,0,0,,2020-07-13,1754,2020-07-13 13:03,0,0,0,,0,0,0,0,0,0,
sylvaticus/DICE.jl,0,0,Julia,2024-09-07,237,2024-12-06 08:53,0,0,0,,0,2,0,0,0,0,
sylvaticus/DataFrames.jl,0,0,Julia,2017-02-19,2994,2017-02-19 17:56,0,0,0,,0,0,0,0,0,0,
sylvaticus/DataFramesMeta.jl,0,0,Julia,2017-07-19,2844,2018-10-03 15:26,0,0,0,,0,0,0,0,0,0,
sylvaticus/Debugger.jl,0,0,,2024-07-02,304,2024-07-02 08:24,0,0,0,,0,2,0,0,0,0,
sylvaticus/DocumentationGeneratorRegistry,0,0,Julia,2023-12-15,504,2023-12-15 15:42,0,0,0,,0,0,0,0,0,0,
sylvaticus/Documenter.jl,0,0,Julia,2022-03-30,1129,2022-04-13 08:12,0,0,0,,0,0,0,0,0,0,
sylvaticus/Imbalance.jl,0,0,,2024-03-05,423,2024-03-05 10:23,0,0,0,,0,0,0,0,0,0,
sylvaticus/Interfaces.jl,0,0,,2024-06-15,321,2024-06-15 13:08,0,0,0,,0,0,0,0,0,0,
sylvaticus/JavaCall.jl,0,0,,2023-11-22,527,2023-11-22 08:25,0,0,0,,0,0,0,0,0,0,
sylvaticus/Julia.jl,0,0,,2024-07-14,292,2024-07-14 13:37,0,0,0,,0,0,0,0,0,0,
sylvaticus/JuliaComputation,0,0,Julia,2022-09-14,961,2022-09-15 09:20,0,0,0,,0,0,0,0,0,0,
sylvaticus/METADATA.jl,0,0,Julia,2016-12-08,3067,2016-12-08 14:22,0,0,0,,0,0,0,0,0,0,
sylvaticus/MLDatasets.jl,0,0,,2021-08-16,1355,2021-08-16 12:37,0,0,0,,0,0,0,0,0,0,
sylvaticus/MLJ.jl,0,0,TeX,2022-10-02,943,2024-05-05 20:11,0,0,0,,0,0,0,0,0,0,
sylvaticus/Machine-Learning,0,0,,2020-06-06,1791,2020-06-06 12:07,0,0,0,,0,0,0,0,0,0,
sylvaticus/Markets.jl,0,0,Julia,2022-05-25,1073,2022-05-25 16:08,2,1,3,0.333,0,0,2,0,0,2,
sylvaticus/Missings.jl,0,0,Julia,2018-08-01,2466,2018-08-01 07:03,0,0,0,,0,0,0,0,0,0,
sylvaticus/MultiDimEquations.jl,0,2,Julia,2017-10-06,2765,2021-04-28 12:57,0,3,3,1.0,0,0,0,0,1,1,53.54
sylvaticus/POMDPExamples.jl,0,0,,2021-02-09,1543,2021-02-09 09:17,0,0,0,,0,0,0,0,0,0,
sylvaticus/PackageEvaluator.jl,0,0,Julia,2017-04-19,2935,2017-04-19 16:52,0,0,0,,0,0,0,0,0,0,
sylvaticus/PyomoGallery,0,0,Python,2015-11-23,3448,2015-11-23 15:28,0,0,0,,0,0,0,0,0,0,
sylvaticus/QuizQuestions.jl,0,0,Julia,2022-03-29,1130,2022-03-29 11:13,0,0,0,,0,0,0,0,0,0,
sylvaticus/RasterDataSources.jl,0,0,,2024-06-03,333,2024-06-03 07:58,0,0,0,,0,1,0,0,0,0,
sylvaticus/ShapML.jl,0,0,,2024-05-06,361,2024-05-06 09:54,0,0,0,,0,0,0,0,0,0,
sylvaticus/Signal-Android,0,0,Java,2018-09-12,2424,2018-09-12 13:03,0,0,0,,0,0,0,0,0,0,
sylvaticus/SimpleGames.jl,0,0,Julia,2023-02-12,810,2023-02-12 22:10,0,0,0,,0,0,0,0,0,0,
sylvaticus/StatPlots.jl,0,0,Julia,2017-05-17,2907,2017-05-17 13:27,0,0,0,,0,0,0,0,0,0,
sylvaticus/StochasticCashFlow.jl,0,0,Julia,2024-02-20,437,2024-12-11 10:53,0,0,0,,0,5,0,0,0,0,
sylvaticus/SymEngine.jl,0,0,,2020-10-19,1656,2020-10-19 14:48,0,0,0,,0,0,0,0,0,0,
sylvaticus/SymPy.jl,0,0,Julia,2018-09-04,2432,2018-09-04 13:49,0,0,0,,0,0,0,0,0,0,
sylvaticus/SystemBenchmark.jl,0,0,,2024-05-15,352,2024-05-15 13:14,0,0,0,,0,0,0,0,0,0,
sylvaticus/awesome-machine-learning,0,0,,2023-08-30,611,2023-08-30 19:54,0,0,0,,0,0,0,0,0,0,
sylvaticus/cartography,0,0,R,2016-07-11,3217,2016-07-11 14:20,0,0,0,,0,0,0,0,0,0,
sylvaticus/climatedice,0,0,GAMS,2019-04-27,2197,2019-04-27 09:13,0,0,0,,0,0,0,0,0,0,
sylvaticus/free-programming-books,0,0,,2017-10-04,2767,2017-10-04 12:55,0,0,0,,0,0,0,0,0,0,
sylvaticus/github-for-developers-7,0,0,,2015-12-10,3431,2015-12-10 17:21,4,0,4,0.0,0,0,0,0,0,0,
sylvaticus/julia,0,0,Julia,2017-08-30,2802,2017-08-30 13:50,0,0,0,,0,0,0,0,0,0,
sylvaticus/landUsePartitionByRegionAndYear,0,1,Julia,2021-05-04,1459,2022-01-19 11:38,0,0,0,,0,0,0,0,0,0,
sylvaticus/latexcode,0,0,TeX,2024-02-08,449,2024-02-08 21:09,0,0,0,,0,0,0,0,0,0,
sylvaticus/ml-tutorial,0,0,Jupyter Notebook,2020-05-09,1819,2020-05-09 17:42,0,0,0,,0,0,0,0,0,0,
sylvaticus/testGit,0,0,Julia,2021-08-27,1344,2021-08-27 14:53,0,0,0,,0,0,0,0,0,0,
sylvaticus/testGit3,0,0,Julia,2022-03-17,1142,2022-03-17 10:47,0,0,0,,0,0,0,0,0,0,
sylvaticus/testQuestions,0,0,Julia,2022-03-29,1130,2022-03-29 07:42,0,0,0,,0,0,0,0,0,0,
sylvaticus/testgit1,0,0,,2019-02-18,2265,2019-02-18 06:27,0,0,0,,0,0,0,0,0,0,
sylvaticus/testgit2,0,0,,2019-02-18,2265,2019-02-18 10:28,0,0,0,,0,0,0,0,0,0,
sylvaticus/travis-broken-example,0,0,PHP,2016-12-08,3067,2016-12-08 13:20,0,0,0,,0,0,0,0,0,0,
sylvaticus/www.julialang.org,0,1,,2022-03-10,1149,2022-03-10 09:25,0,0,0,,0,0,0,0,0,0,
