name,stars,forks,language,created_at,age_days,last_api_update,open_issues,closed_issues,total_issues,issue_resolution_rate,monthly_commits_last30d,total_commits_fetched_period,open_pr,closed_pr,merged_pr,total_pr,avg_merge_time_days
sylvaticus/MITx_6.86x,317,141,HTML,2020-03-03,1886,2025-05-01 06:44,0,2,2,1.0,0,0,0,0,0,0,
sylvaticus/BetaML.jl,99,13,Julia,2020-04-08,1850,2025-05-01 06:46,5,71,76,0.934,0,24,1,6,25,32,17.29
sylvaticus/juliatutorial,70,27,Jupyter Notebook,2016-11-24,3081,2025-01-23 09:53,5,17,22,0.773,0,0,4,0,15,19,22.62
sylvaticus/SPMLJ,52,8,Julia,2021-11-18,1261,2025-05-01 06:44,3,7,10,0.7,0,8,1,0,4,5,0.4
sylvaticus/StrategicGames.jl,11,0,Julia,2023-03-19,775,2024-07-08 15:55,1,2,3,0.667,0,0,1,0,0,1,
sylvaticus/MITx-MicroMaster-Statistics-and-Data-Science,10,3,,2023-12-13,506,2025-05-01 06:46,0,0,0,,0,0,0,0,0,0,
sylvaticus/OdsIO.jl,10,4,Julia,2016-12-07,3068,2024-08-23 09:31,1,13,14,0.929,0,2,0,0,7,7,6.25
sylvaticus/LAJuliaUtils.jl,7,1,Julia,2017-04-03,2951,2024-12-29 18:34,0,3,3,1.0,0,0,0,0,3,3,35.09
sylvaticus/DICEModel.jl,6,0,Julia,2025-02-08,83,2025-04-29 15:19,0,1,1,1.0,22,61,0,0,0,0,
sylvaticus/MITx_18.6501x_fundamental_of_statistics,6,1,Julia,2023-12-13,506,2025-05-01 06:45,0,0,0,,0,0,0,0,0,0,
sylvaticus/186501xStatistics,5,1,TeX,2019-12-15,1965,2020-12-16 08:02,0,0,0,,0,0,0,0,0,0,
sylvaticus/MyAwesomePackage.jl,5,7,Julia,2020-12-21,1593,2024-05-06 07:21,1,1,2,0.5,0,1,1,0,0,1,
sylvaticus/MITx_-_6.041x_Introduction_to_Probability,4,1,,2023-12-13,506,2025-05-01 06:45,0,0,0,,0,0,0,0,0,0,
sylvaticus/14_310x_ClassNotes,3,5,HTML,2018-10-16,2390,2025-05-01 06:46,0,0,0,,0,0,0,0,0,0,
sylvaticus/probability_cheatsheet,3,1,,2020-07-30,1737,2022-12-22 19:14,0,0,0,,0,0,0,0,0,0,
