contributor_login,total_commits
JeffBezanson,8657
StefanKarpinski,4390
ViralBShah,3881
tkelman,3571
vtjnash,2653
svaksha,2650
timholy,2620
moxie0,2248
ablaom,1868
sylvaticus,1810
Keno,1569
vhf,1541
jiahao,1488
yuyichao,1216
stevengj,1136
IainNZ,992
attobot,954
andreasnoack,930
logankilpatrick,918
kshyatt,885
MichaelHatherly,876
nolta,867
josephmisiti,828
jakebolewski,828
staticfloat,804
jverzani,795
johnmyleswhite,775
quinnj,755
carlobaldassi,742
mlubin,711
lindahua,646
aviks,630
simonster,589
kmsquire,570
amitmurthy,542
mcginty,528
MikeInnes,504
KristofferC,453
mortenpi,421
simonbyrne,413
ihnorton,387
ChrisRackauckas,387
nalimilan,364
EssamWisam,337
tlienart,325
fredrikekre,317
dcjones,316
dmbates,313
mbauman,311
ararslan,310
MHM5000,301
Sacha0,285
powerdistribution,268
tanmaykm,260
garborg,260
isuruf,258
pao,253
omus,238
tonyhffong,238
greyson-signal,215
shashi,211
rfourquet,207
ivarne,196
malmaud,177
eschnett,176
maleadt,171
Libbum,154
rafaqz,153
wildart,152
joehuchette,150
WestleyArgentum,147
tshort,139
samoconnor,132
alexanderfefelov,131
montyvesselinov,126
IanButterworth,125
ScottPJones,124
musm,123
mkitti,117
hayd,114
mykelk,113
tbreloff,112
blakejohnson,110
SimonDanisch,109
pabloferz,106
esparta,106
josephmmisiti,105
nredell,105
andrioni,103
bicycle1885,103
carnaval,100
giordano,99
vchuravy,98
Evizero,98
andrewcooke,97
ranjanan,95
pfitzseb,94
sbromberger,93
jrevels,93
papamarkou,90
garrison,88
randyzwitch,88
ysimillides,87
HarlanH,86
dlfivefifty,84
sglyon,83
GeorgeXing,79
toivoh,78
milktrader,78
Jutho,77
dhoegh,74
juliohm,74
martinholters,72
agrajaghh,71
ericguirbal,69
dpsanders,68
TotalVerb,67
CarloLucibello,67
tawheeler,66
svilupp,64
davidavdav,61
mschauer,61
ssfrr,60
borgified,60
pkofod,59
dnackat,59
alyst,58
astrieanna,57
sjkelly,57
dfdx,57
waldyrious,55
alanedelman,54
rhodey,54
darenasc,53
Wilfred,51
diegozea,51
zsunberg,50
DilumAluthge,49
davidanthoff,45
PallHaraldsson,44
mkborregaard,44
elizavetasemenova,44
tknopp,43
felipenoris,43
kbarbary,43
FeuRenard,43
zingales,42
